timestamp,user,item
1416556800,1,1
1416611815,1,2
1416666830,1,3
1416721846,1,4
1416776861,1,5
1416831876,1,2
1416886892,1,6
1416941907,1,7
1416996923,1,8
1417051938,1,9
1417106953,1,10
1417161969,1,11
1417216984,1,4
1417272000,1,4
1417327015,1,12
1417382030,1,13
1417437046,1,14
1417492061,1,15
1417547076,1,16
1417602092,1,17
1417657107,1,18
1417712123,1,19
1417767138,1,20
1417822153,1,17
1417877169,1,21
1417932184,1,22
1417987200,1,22
1418042215,1,22
1418097230,1,15
1418152246,1,2
1418207261,1,23
1418262276,1,24
1418317292,1,25
1418372307,1,26
1418427323,1,27
1418482338,1,6
1418537353,1,28
1418592369,1,26
1418647384,1,29
1418702400,1,2
1417093200,2,30
1417198984,2,31
1417304769,2,32
1417410553,2,33
1417516338,2,34
1417622123,2,35
1417727907,2,36
1417833692,2,37
1417939476,2,38
1418045261,2,39
1418151046,2,39
1418256830,2,36
1418362615,2,40
1418468400,2,37
1416830400,3,41
1416987600,3,41
1417144800,3,42
1417302000,3,43
1417459200,3,44
1417616400,3,45
1417773600,3,46
1417930800,3,46
1418088000,3,47
1418245200,3,47
1418402400,3,48
1418559600,3,48
1418716800,3,49
1416639600,4,50
1416717642,4,51
1416795685,4,51
1416873728,4,50
1416951771,4,52
1417029814,4,52
1417107857,4,53
1417185900,4,54
1417263942,4,55
1417341985,4,55
1417420028,4,55
1417498071,4,56
1417576114,4,57
1417654157,4,58
1417732200,4,59
1417810242,4,60
1417888285,4,61
1417966328,4,62
1418044371,4,63
1418122414,4,64
1418200457,4,64
1418278500,4,65
1418356542,4,65
1418434585,4,65
1418512628,4,65
1418590671,4,65
1418668714,4,65
1418746757,4,66
1418824800,4,67
1416387600,5,68
1416429666,5,69
1416471733,5,70
1416513800,5,70
1416555866,5,71
1416597933,5,72
1416640000,5,73
1416682066,5,74
1416724133,5,72
1416766200,5,75
1416808266,5,76
1416850333,5,76
1416892400,5,77
1416934466,5,78
1416976533,5,79
1417018600,5,78
1417060666,5,80
1417102733,5,81
1417144800,5,81
1417186866,5,82
1417228933,5,83
1417271000,5,83
1417313066,5,84
1417355133,5,85
1417397200,5,86
1417439266,5,87
1417481333,5,88
1417523400,5,72
1417565466,5,89
1417607533,5,90
1417649600,5,91
1417691666,5,92
1417733733,5,92
1417775800,5,92
1417817866,5,93
1417859933,5,94
1417902000,5,94
1417944066,5,95
1417986133,5,96
1418028200,5,97
1418070266,5,98
1418112333,5,99
1418154400,5,100
1418196466,5,101
1418238533,5,101
1418280600,5,102
1418322666,5,103
1418364733,5,104
1418406800,5,105
1418448866,5,106
1418490933,5,107
1418533000,5,108
1418575066,5,108
1418617133,5,72
1418659200,5,72
1416391200,6,109
1416426545,6,110
1416461890,6,111
1416497236,6,111
1416532581,6,111
1416567927,6,112
1416603272,6,111
1416638618,6,110
1416673963,6,113
1416709309,6,114
1416744654,6,113
1416780000,6,115
1416815345,6,115
1416850690,6,115
1416886036,6,116
1416921381,6,117
1416956727,6,118
1416992072,6,119
1417027418,6,118
1417062763,6,120
1417098109,6,121
1417133454,6,122
1417168800,6,123
1417204145,6,124
1417239490,6,125
1417274836,6,126
1417310181,6,127
1417345527,6,128
1417380872,6,129
1417416218,6,129
1417451563,6,130
1417486909,6,131
1417522254,6,132
1417557600,6,133
1417592945,6,134
1417628290,6,135
1417663636,6,136
1417698981,6,137
1417734327,6,138
1417769672,6,139
1417805018,6,135
1417840363,6,135
1417875709,6,135
1417911054,6,135
1417946400,6,140
1417981745,6,141
1418017090,6,125
1418052436,6,142
1418087781,6,143
1418123127,6,144
1418158472,6,121
1418193818,6,145
